,experiment,component,rules,clauses_per_rule,total_clauses,test_case_number,delay_ms
159,test_20_2,test_runner,20,2,40,30,47.0
160,test_10_4,test_runner,10,4,40,31,56.0
161,test_20_2,test_runner,20,2,40,31,50.0
162,test_10_4,test_runner,10,4,40,32,57.0
163,test_20_2,test_runner,20,2,40,32,50.0
164,test_10_4,test_runner,10,4,40,33,58.0
165,test_20_2,test_runner,20,2,40,33,49.0
166,test_10_4,test_runner,10,4,40,34,52.0
167,test_20_2,test_runner,20,2,40,34,48.0
168,test_10_4,test_runner,10,4,40,35,57.0
169,test_20_2,test_runner,20,2,40,35,46.0
170,test_10_4,test_runner,10,4,40,36,57.0
171,test_20_2,test_runner,20,2,40,36,50.0
172,test_10_4,test_runner,10,4,40,37,58.0
173,test_20_2,test_runner,20,2,40,37,57.0
174,test_10_4,test_runner,10,4,40,38,56.0
175,test_20_2,test_runner,20,2,40,38,49.0
176,test_10_4,test_runner,10,4,40,39,54.0
177,test_20_2,test_runner,20,2,40,39,40.0
178,test_10_4,test_runner,10,4,40,40,58.0
179,test_20_2,test_runner,20,2,40,40,44.0
180,test_10_4,test_runner,10,4,40,41,58.0
181,test_20_2,test_runner,20,2,40,41,47.0
182,test_10_4,test_runner,10,4,40,42,54.0
183,test_20_2,test_runner,20,2,40,42,41.0
184,test_10_4,test_runner,10,4,40,43,55.0
185,test_20_2,test_runner,20,2,40,43,39.0
186,test_10_4,test_runner,10,4,40,44,56.0
187,test_20_2,test_runner,20,2,40,44,46.0
188,test_10_4,test_runner,10,4,40,45,59.0
189,test_20_2,test_runner,20,2,40,45,43.0
190,test_10_4,test_runner,10,4,40,46,54.0
191,test_20_2,test_runner,20,2,40,46,42.0
192,test_10_4,test_runner,10,4,40,47,55.0
193,test_20_2,test_runner,20,2,40,47,43.0
194,test_10_4,test_runner,10,4,40,48,52.0
195,test_20_2,test_runner,20,2,40,48,43.0
196,test_10_4,test_runner,10,4,40,49,54.0
197,test_20_2,test_runner,20,2,40,49,45.0
198,test_10_4,test_runner,10,4,40,50,53.0
199,test_20_2,test_runner,20,2,40,50,43.0
200,test_25_2,test_runner,25,2,50,1,163.0
201,test_25_2,test_runner,25,2,50,2,74.0
202,test_25_2,test_runner,25,2,50,3,76.0
203,test_25_2,test_runner,25,2,50,4,67.0
204,test_25_2,test_runner,25,2,50,5,67.0
205,test_25_2,test_runner,25,2,50,6,77.0
206,test_25_2,test_runner,25,2,50,7,55.0
207,test_25_2,test_runner,25,2,50,8,54.0
208,test_25_2,test_runner,25,2,50,9,50.0
209,test_25_2,test_runner,25,2,50,10,61.0
210,test_25_2,test_runner,25,2,50,11,59.0
211,test_25_2,test_runner,25,2,50,12,59.0
212,test_25_2,test_runner,25,2,50,13,52.0
213,test_25_2,test_runner,25,2,50,14,57.0
214,test_25_2,test_runner,25,2,50,15,55.0
215,test_25_2,test_runner,25,2,50,16,57.0
216,test_25_2,test_runner,25,2,50,17,50.0
217,test_25_2,test_runner,25,2,50,18,51.0
218,test_25_2,test_runner,25,2,50,19,52.0
219,test_25_2,test_runner,25,2,50,20,54.0
220,test_25_2,test_runner,25,2,50,21,56.0
221,test_25_2,test_runner,25,2,50,22,58.0
222,test_25_2,test_runner,25,2,50,23,51.0
223,test_25_2,test_runner,25,2,50,24,55.0
224,test_25_2,test_runner,25,2,50,25,53.0
225,test_25_2,test_runner,25,2,50,26,53.0
226,test_25_2,test_runner,25,2,50,27,57.0
227,test_25_2,test_runner,25,2,50,28,45.0
228,test_25_2,test_runner,25,2,50,29,44.0
229,test_25_2,test_runner,25,2,50,30,51.0
230,test_25_2,test_runner,25,2,50,31,44.0
231,test_25_2,test_runner,25,2,50,32,49.0
232,test_25_2,test_runner,25,2,50,33,47.0
233,test_25_2,test_runner,25,2,50,34,46.0
234,test_25_2,test_runner,25,2,50,35,45.0
235,test_25_2,test_runner,25,2,50,36,48.0
236,test_25_2,test_runner,25,2,50,37,45.0
237,test_25_2,test_runner,25,2,50,38,47.0
238,test_25_2,test_runner,25,2,50,39,45.0
239,test_25_2,test_runner,25,2,50,40,45.0
240,test_25_2,test_runner,25,2,50,41,46.0
241,test_25_2,test_runner,25,2,50,42,45.0
242,test_25_2,test_runner,25,2,50,43,44.0
243,test_25_2,test_runner,25,2,50,44,46.0
244,test_25_2,test_runner,25,2,50,45,46.0
245,test_25_2,test_runner,25,2,50,46,45.0
246,test_25_2,test_runner,25,2,50,47,47.0
247,test_25_2,test_runner,25,2,50,48,44.0
248,test_25_2,test_runner,25,2,50,49,46.0
249,test_25_2,test_runner,25,2,50,50,45.0
250,test_10_6,test_runner,10,6,60,1,202.0
251,test_15_4,test_runner,15,4,60,1,190.0
252,test_30_2,test_runner,30,2,60,1,173.0
253,test_10_6,test_runner,10,6,60,2,95.0
254,test_15_4,test_runner,15,4,60,2,85.0
255,test_30_2,test_runner,30,2,60,2,96.0
256,test_10_6,test_runner,10,6,60,3,81.0
257,test_15_4,test_runner,15,4,60,3,75.0
258,test_30_2,test_runner,30,2,60,3,83.0
259,test_10_6,test_runner,10,6,60,4,84.0
260,test_15_4,test_runner,15,4,60,4,71.0
261,test_30_2,test_runner,30,2,60,4,64.0
