experiment,count,mean,std,min,25%,50%,75%,90%,95%,99%,max,variance
test_50_18,50.0,3054.76,108.6329825511533,3006.0,3027.5,3041.0,3049.0,3072.2,3074.55,3445.6699999999987,3797.0,11801.124897959195
test_50_2,50.0,20.92,10.111298994043187,15.0,16.0,17.0,21.0,29.200000000000003,32.099999999999994,58.90999999999992,79.0,102.23836734693879
test_50_20,50.0,4107.32,114.10565100746207,4042.0,4076.25,4085.5,4106.0,4132.9,4145.1,4529.629999999998,4879.0,13020.099591836697
test_50_4,50.0,75.6,23.708260852560677,64.0,66.0,67.5,71.75,85.90000000000003,117.64999999999993,169.26999999999984,207.0,562.0816326530611
test_50_6,50.0,177.14,36.58705581296785,162.0,166.0,167.5,171.5,190.2,213.0499999999999,331.4799999999997,404.0,1338.6126530612246
test_50_8,50.0,420.42,49.21966174244615,400.0,406.25,409.0,411.0,431.70000000000005,454.55,628.6699999999996,735.0,2422.5751020408134
test_55_10,50.0,858.28,57.89717838812287,837.0,843.0,846.0,852.0,857.1,888.8499999999999,1100.3099999999995,1238.0,3352.0832653061198
test_55_12,50.0,1286.66,75.97169451412108,1260.0,1267.0,1273.5,1279.0,1288.3,1316.1,1591.1999999999991,1797.0,5771.698367346937
test_55_14,50.0,2080.8,86.8667757816179,2016.0,2038.5,2072.0,2102.75,2107.7,2125.3,2428.3499999999995,2617.0,7545.836734693859
test_55_16,50.0,2962.2,85.13854255606815,2918.0,2936.25,2945.0,2958.5,2978.8,3003.15,3307.869999999999,3522.0,7248.57142857139
test_55_18,50.0,3986.06,95.23749261714106,3939.0,3959.25,3968.5,3981.25,3998.3,4019.55,4354.579999999999,4628.0,9070.179999999937
test_55_2,50.0,25.06,11.312644181063371,19.0,20.0,21.0,24.0,36.2,39.55,66.43999999999991,88.0,127.97591836734684
test_55_20,50.0,5156.44,129.12707868212456,5078.0,5110.0,5117.0,5143.75,5225.0,5283.7,5648.049999999998,5969.0,16673.802448979593
test_55_4,50.0,91.06,26.761539567072752,78.0,81.0,83.0,87.0,99.1,132.9999999999999,207.84999999999994,225.0,716.1799999999997
test_55_6,50.0,228.7,40.010840367815014,211.0,215.0,218.0,221.0,241.90000000000003,272.4,402.68999999999977,461.0,1600.8673469387754
test_55_8,50.0,512.86,52.26736992793568,489.0,497.0,501.0,506.0,517.1,568.7999999999997,727.8299999999995,842.0,2731.877959183671
