experiment,component,rules,clauses_per_rule,total_clauses,count,mean,std,min,25%,50%,75%,90%,95%,99%,max,variance
test_25_4,test_runner,25,4,100,50.0,79.66,51.36409052945811,56.0,61.0,65.0,73.5,101.1,113.99999999999994,307.0699999999997,384.0,2638.269795918367
test_25_4,enforcer,25,4,100,50.0,51.123000000000005,22.77969694392669,37.82,40.307500000000005,43.595,47.8675,75.67,78.878,137.15779999999984,176.74,518.9145928571428
test_25_4,asmeta,25,4,100,50.0,21.8,12.150417814265671,16.0,16.0,17.0,20.75,33.0,34.64999999999999,67.4799999999999,91.0,147.6326530612245
test_25_6,test_runner,25,6,150,50.0,99.78,35.082578966472454,83.0,86.25,90.0,95.5,113.10000000000002,152.64999999999998,240.84999999999974,307.0,1230.7873469387746
test_25_6,enforcer,25,6,150,50.0,77.64880000000001,31.2420760657476,62.57,65.48,68.42500000000001,72.545,90.58300000000003,131.1685,202.67369999999977,255.04,976.0673168979598
test_25_6,asmeta,25,6,150,50.0,44.82,19.76875498025577,36.0,37.0,38.0,42.0,57.300000000000004,80.55,123.16999999999987,156.0,390.8036734693878
test_25_8,test_runner,25,8,200,50.0,136.38,37.94512149009355,117.0,123.25,127.0,130.0,151.2,187.8999999999999,298.6699999999998,356.0,1439.8322448979595
test_25_8,enforcer,25,8,200,50.0,113.4568,34.67332795079921,95.82,101.2525,103.78999999999999,108.7775,127.98100000000001,165.6589999999999,261.7093999999998,306.76,1202.2396711836727
test_25_8,asmeta,25,8,200,50.0,75.14,24.297484542685496,64.0,67.0,68.0,71.0,78.70000000000002,113.49999999999991,178.6199999999999,209.0,590.3677551020409
test_30_10,test_runner,30,10,300,50.0,247.42,58.64493297178627,226.0,230.0,232.0,239.25,260.1,282.79999999999995,503.7899999999995,616.0,3439.228163265307
test_30_10,enforcer,30,10,300,50.0,223.64860000000002,54.87389978479601,201.38,207.33499999999998,209.98,215.3075,237.507,261.174,465.4954999999996,564.01,3011.144877591838
test_30_10,asmeta,30,10,300,50.0,176.12,42.82553119867842,158.0,164.0,165.5,170.5,183.2,203.39999999999992,365.0899999999997,443.0,1834.0261224489775
test_30_12,test_runner,30,12,360,50.0,360.62,69.93375582707989,329.0,338.0,341.0,349.0,376.0,445.64999999999975,646.4699999999993,792.0,4890.730204081638
test_30_12,enforcer,30,12,360,50.0,336.6071999999999,65.85994444118455,308.83,314.75250000000005,318.205,325.11,352.35900000000004,420.92899999999975,607.6798999999994,738.26,4337.5322817959195
test_30_12,asmeta,30,12,360,50.0,280.4,53.708206342899096,259.0,264.0,266.0,270.75,287.20000000000005,343.89999999999986,503.25999999999954,614.0,2884.5714285714275
test_30_14,test_runner,30,14,420,50.0,560.18,73.81601231080822,534.0,540.0,545.0,550.75,561.6,589.4999999999999,884.0399999999994,1033.0,5448.803673469388
test_30_14,enforcer,30,14,420,50.0,536.5156000000001,69.31539791711626,512.21,516.7475,522.165,527.98,539.3480000000001,564.9949999999999,842.5367999999995,977.62,4804.624388408156
test_30_14,asmeta,30,14,420,50.0,471.2,56.27120915345466,452.0,456.25,460.0,464.75,470.1,485.44999999999993,720.7499999999995,831.0,3166.448979591834
test_30_16,test_runner,30,16,480,50.0,724.4,80.0142844390032,691.0,703.25,709.5,716.0,730.0,761.9999999999999,1042.9299999999992,1260.0,6402.285714285709
test_30_16,enforcer,30,16,480,50.0,699.9188,75.77166143144568,667.06,679.7725,685.47,693.2574999999999,708.3679999999999,739.2069999999999,1001.3110999999992,1205.94,5741.344676081641
test_30_16,asmeta,30,16,480,50.0,622.0,63.32875028172353,595.0,605.25,609.0,615.75,633.1,652.05,870.5999999999992,1047.0,4010.530612244894
test_30_18,test_runner,30,18,540,50.0,940.32,92.70920963432063,900.0,917.25,923.0,930.75,947.7,976.4,1301.909999999999,1567.0,8594.997551020411
test_30_18,enforcer,30,18,540,50.0,915.9082,88.73922321899265,878.4,893.36,898.815,905.1,922.831,952.184,1263.219199999999,1515.04,7874.64973751021
