experiment,count,mean,std,min,25%,50%,75%,90%,95%,99%,max,variance,skewness,Bowley_skew
test_45_12,50.0,898.1452,73.41383026684399,860.61,876.47,883.745,890.375,897.502,952.105,1218.8497999999995,1358.98,5389.590474448973,5.5430274220952445,-0.046386192017258764
test_45_14,50.0,1232.0978,85.98926469042517,1198.07,1204.5975,1211.03,1223.3925,1241.739,1319.7029999999997,1583.357699999999,1777.04,7394.153642000015,5.597654146470776,0.315509444001058
test_45_16,50.0,1710.1118,85.37436987403042,1675.39,1686.35,1691.05,1701.87,1727.101,1734.568,2067.5214999999994,2272.17,7288.783031387762,6.154817361611183,0.39432989690720993
test_45_18,50.0,2530.9167999999995,124.28870675280886,2465.07,2499.4175,2508.575,2523.685,2542.859,2565.1655,3047.5752999999986,3351.88,15447.682626285701,6.197288786437434,0.245286906356252
test_45_2,50.0,45.8828,19.42778244616483,33.95,36.6025,38.685,43.29,63.24300000000001,73.503,116.97769999999986,151.9,377.43873077551035,3.717118303697401,0.3771962616822421
test_45_20,50.0,3243.6076000000003,122.9160343994623,3170.09,3194.8849999999998,3222.505,3255.2325,3274.5449999999996,3287.1895,3712.1368999999986,4053.76,15108.351512489764,6.069917878176965,0.08463482331496826
test_45_4,50.0,94.03559999999999,32.3330341064771,77.51,81.3125,84.175,92.02499999999999,105.09200000000001,149.51799999999997,223.76389999999975,279.08,1045.4250945306128,4.407309872536605,0.4655775962660431
test_45_6,50.0,179.2748,44.71935047719322,161.32,164.4675,166.535,173.5075,189.586,227.5799999999999,376.19439999999975,441.58,1999.8203071020396,4.845050447096379,0.542588495575225
test_45_8,50.0,324.5468,52.90606587034753,301.49,306.5425,310.35,314.605,336.863,384.3164999999999,545.8557999999996,651.0,2799.051805877554,5.245458198933712,0.05550387596899112
test_50_10,50.0,741.3436,68.93977604742697,714.95,721.3825,725.8399999999999,729.5799999999999,761.166,795.3349999999999,1036.5382999999995,1177.33,4752.692721469377,5.59932162132639,-0.08752668496489857
test_50_12,50.0,1112.5916,81.66952971030287,1073.63,1084.36,1097.8000000000002,1108.825,1118.466,1158.0244999999998,1460.5368999999994,1634.09,6669.912083102016,5.708746655621057,-0.09871244635194784
test_50_14,50.0,1587.2186000000002,92.46338138960742,1536.82,1560.9250000000002,1567.88,1585.0575000000001,1594.9060000000002,1640.0264999999997,1967.2434999999991,2191.1,8549.476897999995,6.006904176020896,0.4235988811768313
test_50_16,50.0,2407.9572,99.53374681616936,2335.82,2380.7349999999997,2393.9300000000003,2405.0550000000003,2427.5769999999998,2439.1130000000003,2809.388399999999,3061.66,9906.966755265248,6.046073348011465,-0.08511513157897063
test_50_18,50.0,3174.3062,123.20206034405594,3116.61,3141.095,3156.9300000000003,3166.72,3189.4049999999997,3205.9874999999997,3626.2768999999985,4013.96,15178.747673020402,6.716959122103768,-0.2359024390244286
test_50_2,50.0,48.89580000000001,19.873296008586443,37.58,39.7725,42.525000000000006,46.3625,67.191,73.80299999999998,122.83159999999982,164.07,394.9478942448981,4.303181685526156,0.16464339908952658
test_50_20,50.0,4244.883400000001,130.25748545390977,4174.18,4209.0,4219.264999999999,4239.95,4275.182000000001,4290.5685,4734.708299999998,5124.42,16967.012516775547,6.535273384437608,0.33667205169634745
test_50_4,50.0,109.79019999999998,35.134948267431696,92.97,95.815,97.78999999999999,105.9925,121.22200000000002,165.90949999999992,250.87249999999977,312.49,1234.4645897551025,4.475820783962695,0.6118889707688543
test_50_6,50.0,219.40279999999998,47.3154678958592,198.98,203.97,206.62,212.70250000000001,237.655,264.41849999999994,418.45179999999965,514.09,2238.753502204081,5.3538410707275315,0.3930718580017175
test_50_8,50.0,471.6754,60.866537913633906,446.43,454.0875,456.075,460.52750000000003,488.38,525.0939999999999,728.9923999999994,854.55,3704.7354375918335,5.496725752980968,0.3827639751552812
test_55_10,50.0,922.5038000000001,71.29522925018712,894.2,902.615,908.12,915.0825,922.779,964.0704999999998,1222.7990999999993,1386.17,5083.009713836743,5.981457944082635,0.11690395027070263
test_55_12,50.0,1362.6960000000001,90.93432795154975,1329.84,1337.85,1345.5700000000002,1353.045,1364.595,1403.9115,1732.580899999999,1968.56,8269.052000000003,6.338516671865546,-0.01612372490953228
test_55_14,50.0,2170.8702000000003,101.03751757194969,2099.21,2124.8025000000002,2158.54,2190.59,2201.983,2216.416,2578.6538999999993,2803.51,10208.57995710209,5.270769991040738,-0.025650769523085728
test_55_16,50.0,3068.9762,99.83078425648725,3018.71,3040.2925,3051.795,3061.1324999999997,3086.114,3124.2904999999996,3475.316699999999,3724.81,9966.185485265318,6.081170160981599,-0.10388675623804727
test_55_18,50.0,4108.649,111.13178571830278,4055.5,4079.31,4087.805,4102.51,4117.304,4148.2515,4551.066199999998,4854.19,12350.273796938707,6.43680220627963,0.26767241379310186
test_55_2,50.0,53.918,20.793084211352774,41.31,44.45,47.235,50.685,77.218,83.26449999999998,129.97279999999984,169.8,432.35235102040826,3.936918882255883,0.1066559743384132
test_55_20,50.0,5302.215999999999,145.5668345412764,5219.06,5250.86,5260.245,5287.7474999999995,5375.981000000001,5426.4365,5856.413999999999,6229.99,21189.703318367374,5.540576066918478,0.49115554049470855
test_55_4,50.0,126.56459999999998,37.05635797219237,109.09,112.73,115.37,120.605,137.894,177.49299999999982,287.81109999999984,324.37,1373.173666163265,4.182440555938506,0.3295238095238094
test_55_6,50.0,272.724,51.30862830728873,250.95,255.06,258.16499999999996,262.1825,296.84100000000007,330.48199999999997,495.4105999999997,571.88,2632.5753387755076,4.717279085748412,0.12811512811514722
test_55_8,50.0,566.8146,64.67074104876112,536.81,547.745,551.19,558.625,572.558,637.3229999999998,835.1313999999994,971.91,4182.304747795917,5.466795852544775,0.3667279411764507
test_60_10,50.0,1092.0926,82.79481204317884,1058.68,1066.275,1071.6,1082.6799999999998,1097.174,1171.4904999999997,1451.1845999999996,1598.41,6854.980901265309,5.249818279749686,0.35080768058519957
test_60_12,50.0,1669.7086,83.77314532469121,1629.92,1644.6574999999998,1649.685,1666.7725,1685.191,1713.2824999999998,2018.6292999999991,2213.37,7017.939877591836,5.911081316260253,0.5453312231516987
test_60_14,50.0,2793.2304000000004,82.07390967180936,2740.46,2768.99,2782.02,2792.3624999999997,2809.2140000000004,2813.299,3106.572699999999,3344.6,6736.126648816337,6.43222194922762,-0.11498555995297532
test_60_16,50.0,3755.5535999999993,94.57866119861522,3700.91,3718.4575,3735.875,3754.7325,3796.202,3805.9295,4112.425999999999,4374.87,8945.123154122468,5.965210759980485,0.03969676085459699
test_60_18,50.0,5072.971200000001,131.21066212649586,4977.28,5016.41,5034.719999999999,5092.5675,5168.177000000001,5191.6865,5570.112799999999,5865.23,17216.237855673488,4.748352571395248,0.5191543840068549
test_60_2,50.0,62.87080000000001,24.497431088977137,48.19,51.8775,55.015,59.4625,90.108,98.43499999999997,153.5297999999998,201.05,600.1241299591841,4.093215294932068,0.17270929466051446
test_60_20,50.0,6833.085599999999,142.8141042620205,6748.24,6794.1325,6808.695,6822.962500000001,6863.468000000001,6896.425,7405.395499999999,7775.86,20395.868376163366,6.142712654828866,-0.010232396808818772
test_60_4,50.0,145.77100000000002,34.80529453331807,128.99,133.1975,135.29500000000002,139.32,155.52100000000002,196.78049999999985,294.92199999999985,337.16,1211.408527551022,4.298799181311648,0.31482237648018807
test_60_6,50.0,327.918,53.99336792229055,308.26,311.1825,314.44,320.605,334.249,373.81049999999993,560.3058999999995,666.68,2915.283779591838,5.504714335181071,0.3085699124436214
test_60_8,50.0,672.4679999999998,63.07714120707391,646.58,653.8725,659.5250000000001,663.63,676.4920000000001,706.9485,948.7666999999994,1071.35,3978.7257428571356,5.64546438308302,-0.1585959518319364
